L M s l' alpha Re(C) Im(C) Im(A)
1 0 2 1 1.057 0 -4.67596522661147e-5 5.06189313034933
1 1 2 1 1.057 3.24906574292665e-5 -9.57771993597970e-7 5.06189313034933
1 -1 2 3 1.057 -4.55108260228992e-5 5.78626547734304e-6 5.06189313034933
1 0 2 3 1.057 0 7.37361422621649e-5 5.06189313034933
1 1 2 3 1.057 -4.55108260228992e-5 -5.78626547734304e-6 5.06189313034933
1 -1 0 1 0.02526 0.00134751083707170 -8.34144045486855e-5 0.120968231289143
1 0 0 1 0.02526 0 -0.00208161924315188 0.120968231289143
1 1 0 1 0.02526 0.00134751083707170 8.34144045486855e-5 0.120968231289143
1 -1 0 1 0.102 -0.00339793740004957 0.000210341109786387 0.488470292616492
1 0 0 1 0.102 0 0.00524909461532762 0.488470292616492
1 1 0 1 0.102 -0.00339793740004957 -0.000210341109786387 0.488470292616492
1 0 1 0 0.102 0.000434220262786357 0 0.488470292616492
1 -1 1 2 0.102 -8.78448230015742e-5 -0.000715221724772460 0.488470292616492
1 0 1 2 0.102 -0.00175796075152060 0 0.488470292616492
